vse_id,name,zip_code,city
103410,Aarewerke AG,5313,Klingnau
103420,Elektrizitätswerk Vilters-Wangs,7323,Wangs
103430,Groupe E SA,1763,Granges-Paccot
103440,Technische Betriebe Goldach,9403,Goldach
103450,Elektrizitätsversorgung Oberbüren,9245,Oberbüren
103460,Elektra Sins,5643,Sins
103470,EW Sirnach AG,8370,Sirnach
103480,Elektra-Genossenschaft Baldingen,5333,Baldingen
103490,Services Industriels de La Neuveville,2520,La Neuveville
103500,Elektrizitätsversorgung der Gemeinde Sils,7411,Sils im Domleschg
103510,Elektrizitätsversorgung Teufenthal,5723,Teufenthal AG
103520,BKW Energie AG,3013,Bern
103530,EE-ENERGIA ENGIADINA,7550,Scuol
103540,EE-ENERGIA ENGIADINA,7550,Scuol
103550,InfraWerkeMünsingen,3110,Münsingen
103560,Elektrizitätsversorgung Altnau,8595,Altnau
103570,Elektrizitätswerk Wangen,8855,Wangen SZ
103580,Elektrizitätsversorgung Spreitenbach,8957,Spreitenbach
103590,Elektrizitätswerk der Gemeinde Surses,7453,Tinizong
103600,Elektrizitätswerk der Gemeinde Surses,7453,Tinizong
103610,Elektrizitätswerk der Gemeinde Surses,7453,Tinizong
103620,Elektrizitätsversorgung Ueken,5028,Ueken
103630,Elektrizitäts-Versorgung Killwangen,8956,Killwangen
103640,Elektrizitätswerk der Gemeinde Güttingen,8594,Güttingen
103650,Dorfkorporation Oberschan,9479,Oberschan
103660,SATOM SA,1870,Monthey
103670,Politische Gemeinde Wilen,9535,Wilen b. Wil
103680,Technische Gemeindebetriebe Wängi,9545,Wängi
103690,Elektrizitätswerk Unterbäch,3944,Unterbäch VS
103700,Robert Fuchs AG,8834,Schindellegi
103710,Genossenschaft Werk Bichelsee-Balterswil,8362,Balterswil
103720,Elektrizitätswerke des Kantons Zürich - EKZ,8002,Zürich
103730,Limeco,8953,Dietikon
103740,Elektrizitätswerk Rheinwald,7435,Splügen
103750,Youtility AG,3014,Bern
103760,Elektra Niederbüren,9246,Niederbüren
103770,EnAlpin AG,3930,Visp
103780,EnAlpin AG,3930,Visp
103790,Licht- und Wasserwerk AG,3718,Kandersteg
103800,BKW Energie AG,3013,Bern
103810,Dorfkorporation Schwarzenbach,9536,Schwarzenbach SG
103820,Werke am Zürichsee AG,8700,Küsnacht
103830,Energie Thun AG,3607,Thun
103840,rwt Regionalwerk Toggenburg AG,9602,Bazenheid
103850,Elektrizitätswerk der Gemeinde Surses,7453,Tinizong
103860,EVS Energieversorgung Schänis AG,8718,Schänis
103870,Thurwerke AG,9630,Wattwil
103880,Service électricité de la commune de Trient,1929,Trient
103890,Elektrizitätswerk Wangen,8855,Wangen SZ
103900,Elektrizitätsgenossenschaft Gehrau-Häusern,8556,Wigoltingen
103910,Sinergy Infrastructure SA,1920,Martigny
103920,KVA Turgi,5300,Turgi
103930,Licht-und Kraftgenossenschaft Richigen,3078,Richigen
103940,Technische Gemeindebetriebe Wängi,9545,Wängi
103950,Elektrizitätsversorgung Oberriet (SG),9463,Oberriet SG
103960,Elektra Rudolfstetten-Friedlisberg AG,8964,Rudolfstetten
103970,EnerCom Kirchberg AG,3422,Kirchberg
103980,SAE Immobilien AG,6314,Unterägeri
103990,Einwohnergemeinde Gemeindebetriebe,2553,Safnern
104000,Eli10 S.A.,2022,Bevaix
104010,StWZ Energie AG,4800,Zofingen
104020,EWZ Elektrizitätswerk Zermatt AG,3920,Zermatt
104030,Aziende Industriali Mendrisio - AIM,6850,Mendrisio
104040,Elektrokorporation Lutenwil,9650,Nesslau
104050,Elektrizitätswerke des Kantons Zürich - EKZ,8002,Zürich
104060,Gemeinde Albula/Alvra,7450,Tiefencastel
104070,Elggis Kraft AG,8754,Netstal
104080,Service électricité de la commune de Develier,2802,Develier
104090,Elektrizitätsgenossenschaft Schüpbach,3535,Schüpbach
104100,Einwohnergemeinde Twann,2513,Twann
104110,Consorzio Energia Elettrica Calanca,6545,Selma
104120,Elektrizitätsverwaltung Kallnach,3283,Kallnach
104130,Elektra Buchen-Teuffenthal,3623,Teuffenthal b. Thun
104140,EE-ENERGIA ENGIADINA,7550,Scuol
104150,EE-ENERGIA ENGIADINA,7550,Scuol
104160,Elektra Gams,9473,Gams
104170,Eli10 S.A.,2022,Bevaix
104180,Technische Betriebe Wil,9500,Wil
104190,THURPOWER AG,9500,Wil SG
104200,Politische Gemeinde Affeltrangen Technische Werke Elektrizität,9556,Affeltrangen
104210,Société des Forces Motrices Grand St. Bernard SA,1110,Morges
104220,Verband Schweizerischer Elektrizitätsunternehmen VSE,5000,Aarau
104230,Bas-Valais Energie SA,1110,Morges
104240,Gemeindewerke Arth,6415,Arth
104250,Elektrizitätswerk der politischen Gemeinde Langrickenbach,8585,Langrickenbach
104260,Rheinkraftwerk Neuhausen AG,5332,Rekingen AG
104270,Elektrizitätsgenossenschaft Zwischenflüh und Umgebung,3756,Zwischenflüh
104280,Elektra-Genossenschaft Homburg,8508,Homburg
104290,Elektra Neukirch Egnach,9315,Neukirch (Egnach)
104300,Elektra-Korporation Schachen,9411,Schachen b. Reute
104310,Groupe E SA,1763,Granges-Paccot
104320,Elektra Thal,4713,Matzendorf
104330,Elektrizitätsversorgung Altendorf AG,8852,Altendorf
104340,Elektra-Genossenschaft Siglistorf-Wislikofen-Mellstorf,5462,Siglistorf
104350,Elektra Neuendorf,4623,Neuendorf
104360,Elektrizitätswerk der Gemeinde Mammern,8265,Mammern
104370,Dorfkorporation Weite,9476,Weite
104380,Elektrizitätswerk der Gemeinde Schmitten,7493,Schmitten (Albula)
104390,Elektrizitätswerk Mellingen,5507,Mellingen
104400,Elektrizitätswerk Obergoms AG,3985,Münster VS
104410,Ovra electrica Medel,7184,Curaglia
104420,Media Mesolcina Energia,6562,Soazza
104430,Forces Motrices de l’Aboyeu SA,1921,Martigny-Croix
104440,Elektrizitätsgenossenschaft Saas Balen,3930,Visp
104450,Elektra Untereggen,9033,Untereggen
104460,AEW Energie AG,5000,Aarau
104470,St. Gallisch-Appenzellische Kraftwerke AG,9000,St. Gallen
104480,Elektrizitätswerke des Kantons Zürich - EKZ,8002,Zürich
104490,Technische Werke der Gemeinde Thundorf,8512,Thundorf
104500,Elektrizitätsversorgung Wartau,9478,Azmoos
104510,Elektra Genossenschaft Schneisingen,5425,Schneisingen
104520,Energieversorgungsstelle der Gemeinde Thusis,7430,Thusis
104530,Elektrizitätswerk Tschiertschen-Praden,7063,Praden
104540,St. Gallisch-Appenzellische Kraftwerke AG,9000,St. Gallen
104550,Technische Werke der Gemeinde Birwinken,8585,Mattwil
104560,Sinergy Infrastructure SA,1920,Martigny
104570,Elektrizitätswerk Ursern,6490,Andermatt
104580,AEW Energie AG,5000,Aarau
104590,Elektragenossenschaft Geltwil,5637,Geltwil
104600,Arosa Energie,7050,Arosa
104610,Elektrizitätswerk Samnaun,7562,Samnaun-Compatsch
104620,AEW Energie AG,5000,Aarau
104630,Elektra Politische Gemeinde Pfyn,8505,Pfyn
104640,Elektra Neukirch Egnach,9315,Neukirch (Egnach)
104650,Elektrizitätswerk der PG Wagenhausen,8259,Kaltenbach
104660,tbgs - Technische Betriebe Glarus Süd,8762,Schwanden
104670,EW Sirnach AG,8370,Sirnach
104680,Elektra Augst,4302,Augst BL
104690,Grande Dixence SA,1950,Sion
104700,Werkbetrieb Elektrizität Amlikon-Bissegg,8514,Amlikon-Bissegg
104710,Société Électrique du Val-de-Travers S.A.,2108,Couvet
104720,AEW Energie AG,5000,Aarau
104730,Elektra Remetschwil,5453,Remetschwil
104740,Genossenschaft Energie Fischingen,8374,Dussnang
104750,Société des Forces Electriques de La Goule,2610,Saint-Imier
104760,Technische Gemeindebetriebe Berg,8572,Berg TG
104770,Elektra Böttstein,5315,Böttstein
104780,Elektrizitätsversorgung St. Stephan,3772,St. Stephan
104790,Elektra Eggersriet,9034,Eggersriet
104800,Elektrizitätsgenossenschaft Villnachern,5213,Villnachern
104810,Elektrizitätswerk Wohlenschwil,5512,Wohlenschwil
104820,Genossenschaft Elektra Ehrendingen,5420,Ehrendingen
104830,EW Lachen AG,8853,Lachen SZ
104840,Martin Zeller AG Flums,8890,Flums
104850,Politische Gemeinde Gachnang,8547,Gachnang
104860,Services Techniques de la Commune de Paudex,1094,Paudex
104870,"Genossenschaft Elektra, Jegenstorf",3303,Jegenstorf
104880,Gemeindewerke Pfäffikon,8330,Pfäffikon ZH
104890,WERKE Rheineck,9424,Rheineck
104900,Elektrizitätswerke des Kantons Zürich - EKZ,8002,Zürich
104910,Grand Resort Bad Ragaz AG,7310,Bad Ragaz
104920,Gemeindewerke Dietlikon,8305,Dietlikon
104930,Elektra-Genossenschaft Olsberg,4305,Olsberg
104940,Elektrizitätswerk Sennwald,9466,Sennwald
104950,Elektra Oberrohrdorf,5452,Oberrohrdorf
104960,a.en Aare Energie AG,4600,Olten
104970,Elektrizitäts-Genossenschaft Boswil-Bünzen,5623,Boswil
104980,Elektrizitätsversorgung Kaltbrunn AG,8722,Kaltbrunn
104990,SEDRE SA,1934,Le Châble VS
105000,"Gemeinde Hallau, Elektrizitätswerk",8215,Hallau
105010,Elektrizitätswerk Gemeinde Bergün Filisur,7477,Filisur
105020,Forces Motrices de la Gougra SA,1950,Sion
105030,Energie Belp AG,3123,Belp
105040,Provedimaint electric Val Müstair,7536,Sta. Maria Val Müstair
105050,Sinergy Infrastructure SA,1920,Martigny
105060,Sinergy Infrastructure SA,1920,Martigny
105070,Elektrizitätsversorgung Thalheim,5112,Thalheim AG
105080,EMAG Energie Münchenbuchsee AG,3053,Münchenbuchsee
105090,Elektrizitätsversorgung der Gemeinde Saas-Fee,3906,Saas-Fee
105100,Elektrizitätsgenossenschaft Diemtigen,3754,Diemtigen
105110,Elektrizitätsversorgung Marbach (SG),9437,Marbach SG
105120,Genossenschaft Elektra Fislisbach,5442,Fislisbach
105130,Elektra Energie Genossenschaft,3673,Linden
105140,Elektrizitätsversorgung Benken,8717,Benken SG
105150,Elektrizitätsversorgung Benken ZH,8463,Benken ZH
105160,Elektroversorgung Untervaz,7204,Untervaz
105170,Genossenschaft Energie Fischingen,8374,Dussnang
105180,Technische Betriebe Thal,9425,Thal
105190,Azienda Elettrica Comunale Torricella-Taverne,6808,Torricella
105200,Politische Gemeinde Stettfurt,9507,Stettfurt
105210,Limmatkraftwerke AG,5400,Baden
105210,Kraftwerke Zervreila AG,9000,St. Gallen
105220,Elektra Opfersei,6133,Hergiswil b. Willisau
105230,Services Techniques de la Commune de Cortaillod,2016,Cortaillod
105250,Elektrizitätswerk der Gemeinde Lantsch/Lenz,7083,Lantsch/Lenz
105260,Industrielle Betriebe Kloten AG,8302,Kloten
105270,Kraftwerk Birsfelden AG,4127,Birsfelden
105280,St. Gallisch-Appenzellische Kraftwerke AG,9000,St. Gallen
105290,Elektrizitätsversorgung Saas-Almagell,3905,Saas-Almagell
105300,Technische Betriebe Glarus Nord,8752,Näfels
105310,Elektrizitätswerk Safiental,7107,Safien Platz
105320,Salanfe S.A.,1003,Lausanne
105330,Forces Motrices Hongrin-Léman S.A. (FMHL),1001,Lausanne
105340,Energie Electrique du Simplon S.A. (EES),1003,Lausanne
105350,Electra-Massa S.A.,1003,Lausanne
105360,Elektrische Korporation Blomberg-Brandholz,9642,Ebnat-Kappel
105370,Elektrizitätswerk der Politischen Gemeinde Basadingen-Schlattingen,8254,Basadingen
105380,Elektra Emmenmatt,3543,Emmenmatt
105390,Electricité d'Emosson S.A.,1920,Martigny
105400,Technische Betriebe Kemmental,8573,Siegershausen
105410,Officine idroelettriche della Maggia S.A.,6600,Locarno
105420,Officine idroelettriche di Blenio S.A.,6604,Locarno
105430,Arosa Energie,7050,Arosa
105440,Elektrizitätswerk Safiental,7107,Safien Platz
105450,Elektrizitätswerk der Gemeinde Surses,7453,Tinizong
105460,Gemeinde Albula/Alvra,7450,Tiefencastel
105470,Kraftwerk Wassen AG,6484,Wassen
105480,Kraftwerk Göschenen AG,6487,Göschenen
105490,St. Gallisch-Appenzellische Kraftwerke AG,9000,St. Gallen
105500,Kraftwerke Ilanz AG,5400,Baden
105510,Kraftwerke Sarganserland AG,5400,Baden
105520,Kraftwerke Linth-Limmern AG,5400,Baden
105530,Elektrizitätswerk Rheinau AG,5400,Baden
105540,SBB AG Kraftwerk Rupperswil-Auenstein AG,3082,Zollikofen
105550,Elektra Büttikon,5619,Büttikon AG
105560,Services industriels de Peseux,2034,Peseux
105570,IB-Murten,3280,Murten
105580,Elektra und Wasserkorporation Grub SG,9036,Grub SG
105590,EVU Flums AG,8890,Flums
105600,Dorfkorporation Trübbach Wasser- und Elektrizitätsversorgung,9477,Trübbach
105610,Linth Kraft AG,8754,Netstal
105620,Gemeindewerke Erstfeld,6472,Erstfeld
105630,Energie Grosshöchstetten AG,3506,Grosshöchstetten
105640,Elektrizitätswerk der Gemeinde Salenstein,8268,Salenstein
105650,Eli10 S.A.,2022,Bevaix
