Ortschaftsname,PLZ,Zusatzziffer,Gemeindename,BFS-Nr,Kantonskürzel,E,N,Sprache
Herrliberg,8704,0,Herrliberg,152,ZH,689133.558520362,237813.894887164,de
Grüningen,8627,0,Hombrechtikon,153,ZH,701434.467742193,235759.991162025,de
Hombrechtikon,8634,0,Hombrechtikon,153,ZH,700312.65842103,234409.43057913,de
Feldbach,8714,0,Hombrechtikon,153,ZH,701723.558417501,232869.334927742,de
Forch,8127,0,Küsnacht (ZH),154,ZH,691436.419373768,242319.02909367,de
Küsnacht ZH,8700,0,Küsnacht (ZH),154,ZH,686559.826644459,241297.793418883,de
Oetwil am See,8618,0,Männedorf,155,ZH,696378.565124946,235752.130441302,de
Männedorf,8708,0,Männedorf,155,ZH,695008.068535261,234513.732243014,de
Meilen,8706,0,Meilen,156,ZH,690903.759181258,235938.648086845,de
Oetwil am See,8618,0,Oetwil am See,157,ZH,697204.53443391,236271.597993525,de
Hombrechtikon,8634,0,Stäfa,158,ZH,699702.155471067,233276.865692979,de
Stäfa,8712,0,Stäfa,158,ZH,697853.703332052,232808.967346611,de
Uerikon,8713,0,Stäfa,158,ZH,699807.914364309,232354.367572479,de
Feldbach,8714,0,Stäfa,158,ZH,700938.536007915,232445.465661615,de
Uetikon am See,8707,0,Uetikon am See,159,ZH,693716.026282037,235285.568757824,de
Zumikon,8126,0,Zumikon,160,ZH,689539.695107627,242957.810904018,de
Zollikerberg,8125,0,Zollikon,161,ZH,687923.918276931,244779.83727576,de
Zollikon,8702,0,Zollikon,161,ZH,685817.833127018,243666.84587301,de
Illnau,8308,0,Fehraltorf,172,ZH,698779.037965508,251208.572439883,de
Fehraltorf,8320,0,Fehraltorf,172,ZH,699185.319568668,249307.732103029,de
Hittnau,8335,0,Hittnau,173,ZH,704659.298779008,246488.388520278,de
Kemptthal,8310,0,Lindau,176,ZH,695549.989120539,256551.877681157,de
Grafstal,8310,1,Lindau,176,ZH,695002.579937425,255548.781015718,de
Winterberg ZH,8312,0,Lindau,176,ZH,694517.753969501,256951.31366253,de
Lindau,8315,0,Lindau,176,ZH,692926.872442765,255292.627108227,de
Tagelswangen,8317,0,Lindau,176,ZH,693037.150410517,254021.430328123,de
Pfäffikon ZH,8330,0,Pfäffikon,177,ZH,701403.178028295,246909.850823089,de
Auslikon,8331,0,Pfäffikon,177,ZH,703390.309775801,244751.222806628,de
Wetzikon ZH,8623,0,Pfäffikon,177,ZH,704058.225983066,243947.123588275,de
Madetswil,8322,0,Russikon,178,ZH,702097.822597164,251919.278617221,de
Gündisau,8322,2,Russikon,178,ZH,703329.317197869,250589.819218145,de
Russikon,8332,0,Russikon,178,ZH,700792.365843423,250344.601313781,de
Rumlikon,8332,2,Russikon,178,ZH,699706.053418216,251781.643795371,de
Agasul,8308,2,Weisslingen,180,ZH,698699.082419669,253713.727849928,de
Weisslingen,8484,0,Weisslingen,180,ZH,700068.310270059,254471.891761438,de
