Ortschaftsname,PLZ,Zusatzziffer,Gemeindename,BFS-Nr,Kantonskürzel,E,N,Sprache
Hellbühl,6016,0,Ruswil,1098,LU,656547.109598602,213833.096322982,de
Ruswil,6017,0,Ruswil,1098,LU,652244.761790693,215129.371049039,de
Buttisholz,6018,0,Ruswil,1098,LU,649900.625915359,216557.594214163,de
Sigigen,6019,0,Ruswil,1098,LU,652909.612473884,212714.829272469,de
Schachen LU,6105,0,Ruswil,1098,LU,652702.329949949,210940.351450533,de
Werthenstein,6106,0,Ruswil,1098,LU,651135.12887929,211863.984303258,de
Wolhusen,6110,0,Ruswil,1098,LU,649635.164142356,212894.060454956,de
Neuenkirch,6206,0,Ruswil,1098,LU,655652.834322082,215665.405928997,de
Nottwil,6207,0,Ruswil,1098,LU,652781.050640624,218240.530427755,de
Sursee,6210,0,Schenkon,1099,LU,651958.833842434,225142.775661128,de
Schenkon,6214,0,Schenkon,1099,LU,652830.693678898,224933.537465945,de
Gunzwil,6222,0,Schenkon,1099,LU,654270.303162462,224966.054112287,de
Schlierbach,6231,0,Schlierbach,1100,LU,650843.808712759,230781.230683442,de
Hildisrieden,6024,0,Sempach,1102,LU,658233.441585844,223308.183703884,de
Sempach,6204,0,Sempach,1102,LU,657215.610580552,220684.33291897,de
Sursee,6210,0,Sursee,1103,LU,650851.705686641,224923.831515585,de
Knutwil,6213,0,Triengen,1104,LU,647949.858457601,229415.230292433,de
Triengen,6234,0,Triengen,1104,LU,648364.852441739,231657.828777073,de
Kulmerau,6234,1,Triengen,1104,LU,649111.33827105,233987.209368214,de
Winikon,6235,0,Triengen,1104,LU,646239.04619228,231996.839168221,de
Wilihof,6236,0,Triengen,1104,LU,647428.299536481,230616.963230341,de
Wolhusen,6110,0,Wolhusen,1107,LU,648329.196953914,212275.137458844,de
Steinhuserberg,6114,0,Wolhusen,1107,LU,646187.600164883,210392.253559701,de
Menznau,6122,0,Wolhusen,1107,LU,645737.979905335,211803.297645307,de
Alberswil,6248,0,Alberswil,1121,LU,642730.826518153,222363.322540635,de
Altbüron,6147,0,Altbüron,1122,LU,633638.934071403,225534.650953977,de
Zell LU,6144,0,Altishofen,1123,LU,637220.025871063,223576.060506488,de
Nebikon,6244,0,Altishofen,1123,LU,639853.028119157,225940.469302775,de
Ebersecken,6245,0,Altishofen,1123,LU,637462.016385842,225858.596705129,de
Altishofen,6246,0,Altishofen,1123,LU,639530.9323514,227980.456469543,de
Schötz,6247,0,Altishofen,1123,LU,639598.66007571,224361.288030032,de
Richenthal,6263,0,Altishofen,1123,LU,638571.143092677,228109.610487436,de
Buchs LU,6211,1,Dagmersellen,1125,LU,645348.177315866,227945.714297373,de
Winikon,6235,0,Dagmersellen,1125,LU,644709.701910099,231163.358717759,de
Altishofen,6246,0,Dagmersellen,1125,LU,639426.291844996,229383.661092546,de
Dagmersellen,6252,0,Dagmersellen,1125,LU,641792.318080959,229396.253763577,de
Uffikon,6253,0,Dagmersellen,1125,LU,643910.673596327,229097.279264931,de
Reidermoos,6260,2,Dagmersellen,1125,LU,643410.683792788,231668.959235069,de
Egolzwil,6243,0,Egolzwil,1127,LU,643029.527304701,226212.149425503,de
Nebikon,6244,0,Egolzwil,1127,LU,640913.526583242,226124.402942249,de
Grosswangen,6022,0,Ettiswil,1128,LU,644990.534066046,221565.442406715,de
Kottwil,6217,0,Ettiswil,1128,LU,645985.214575365,223711.484710439,de
Ettiswil,6218,0,Ettiswil,1128,LU,643922.874996022,222272.713359145,de
Alberswil,6248,0,Ettiswil,1128,LU,642895.394055808,220865.598321367,de
Fischbach LU,6145,0,Fischbach,1129,LU,635583.094052432,222897.662704082,de
Hüswil,6152,0,Fischbach,1129,LU,634301.844261687,220127.322675158,de
Ufhusen,6153,0,Fischbach,1129,LU,634133.718679224,219766.475341199,de
Fischbach LU,6145,0,Grossdietwil,1131,LU,634012.559798146,222264.39950314,de
Grossdietwil,6146,0,Grossdietwil,1131,LU,634112.174396584,224606.225934791,de
Altbüron,6147,0,Grossdietwil,1131,LU,635289.288814761,227202.922558251,de
Ebersecken,6245,0,Grossdietwil,1131,LU,636967.719008648,226423.557871179,de
Menzberg,6125,0,Hergiswil bei Willisau,1132,LU,641233.516437858,210361.925410372,de
Willisau,6130,0,Hergiswil bei Willisau,1132,LU,640892.827214223,215269.220542266,de
Rohrmatt,6132,0,Hergiswil bei Willisau,1132,LU,641041.750687295,213943.128343879,de
Hergiswil b. Willisau,6133,0,Hergiswil bei Willisau,1132,LU,639527.169482242,215118.317044735,de
Luthern,6156,0,Hergiswil bei Willisau,1132,LU,637155.692490785,214197.633550576,de
Eriswil,4952,0,Luthern,1135,LU,633001.137300871,210948.996304165,de
Ufhusen,6153,0,Luthern,1135,LU,635359.324470427,216227.736615765,de
Hofstatt,6154,0,Luthern,1135,LU,636177.550041579,214969.002583542,de
Luthern,6156,0,Luthern,1135,LU,636297.100995934,212119.726902307,de
Luthern Bad,6156,2,Luthern,1135,LU,637134.256513755,208682.743846028,de
Wolhusen,6110,0,Menznau,1136,LU,644413.773033438,209050.280284834,de
Menznau,6122,0,Menznau,1136,LU,645614.467360903,214954.475023911,de
Geiss,6123,0,Menznau,1136,LU,646875.60237829,215653.320792029,de
Menzberg,6125,0,Menznau,1136,LU,642532.349363716,210168.704133317,de
Willisau,6130,0,Menznau,1136,LU,644959.114167866,217135.877387902,de
Nebikon,6244,0,Nebikon,1137,LU,640622.377143754,226836.128818962,de
St. Urban,4915,0,Pfaffnau,1139,LU,630373.069816953,231353.722235029,de
Altbüron,6147,0,Pfaffnau,1139,LU,632118.075694344,227922.690544113,de
Pfaffnau,6264,0,Pfaffnau,1139,LU,634811.492377818,230947.51060124,de
Roggliswil,6265,0,Pfaffnau,1139,LU,635258.184482278,228179.31062794,de
Dagmersellen,6252,0,Reiden,1140,LU,640410.116110389,231317.702408625,de
Reiden,6260,0,Reiden,1140,LU,640394.368884342,232650.800327905,de
Reidermoos,6260,2,Reiden,1140,LU,641741.494906624,233880.542429416,de
Hintermoos,6260,3,Reiden,1140,LU,643607.614770171,234432.115107291,de
Mehlsecken,6260,4,Reiden,1140,LU,639405.096202979,232859.209674814,de
Langnau b. Reiden,6262,0,Reiden,1140,LU,639724.966073645,231264.344715689,de
Richenthal,6263,0,Reiden,1140,LU,638461.810868359,229951.756585593,de
Roggliswil,6265,0,Roggliswil,1142,LU,633911.281426054,229113.112532656,de
Ohmstal,6143,0,Schötz,1143,LU,638863.818053057,223692.451825934,de
Schötz,6247,0,Schötz,1143,LU,641724.701103034,224418.907719568,de
Eriswil,4952,0,Ufhusen,1145,LU,633585.703646314,215115.325587565,de
Gondiswil,4955,0,Ufhusen,1145,LU,633866.730950521,219764.240872001,de
Ufhusen,6153,0,Ufhusen,1145,LU,635011.215203239,218610.833113801,de
Wauwil,6242,0,Wauwil,1146,LU,644258.364548069,226313.342096081,de
Wikon,4806,0,Wikon,1147,LU,640002.902594919,234835.849113298,de
Reidermoos,6260,2,Wikon,1147,LU,642669.414002784,234706.531124752,de
Hintermoos,6260,3,Wikon,1147,LU,642362.869387904,235620.485477973,de
Zell LU,6144,0,Zell (LU),1150,LU,636715.630474384,221116.36479469,de
Hüswil,6152,0,Zell (LU),1150,LU,635199.237248804,219758.842908979,de
Ufhusen,6153,0,Zell (LU),1150,LU,636372.900099884,217891.96478458,de
Menznau,6122,0,Willisau,1151,LU,644329.099250004,216010.485164646,de
Menzberg,6125,0,Willisau,1151,LU,642040.175158934,211402.4245776,de
Daiwil,6126,0,Willisau,1151,LU,643589.580257406,216391.89935271,de
Willisau,6130,0,Willisau,1151,LU,641816.585646266,218917.968620175,de
Rohrmatt,6132,0,Willisau,1151,LU,641517.791851878,214786.13168644,de
Hergiswil b. Willisau,6133,0,Willisau,1151,LU,638734.677265128,216391.35625571,de
Gettnau,6142,0,Willisau,1151,LU,640306.573152587,221379.367325296,de
Ohmstal,6143,0,Willisau,1151,LU,640297.453237143,222069.812033602,de
Zell LU,6144,0,Willisau,1151,LU,637092.988846013,218652.686128165,de
Hofstatt,6154,0,Willisau,1151,LU,637138.698925669,216747.922955469,de
Luthern,6156,0,Willisau,1151,LU,637163.454839179,215378.479298092,de
Alberswil,6248,0,Willisau,1151,LU,642807.511173181,220780.142114658,de
Altdorf UR,6460,0,Altdorf (UR),1201,UR,691738.566339816,193170.79254975,de
Andermatt,6490,0,Andermatt,1202,UR,688730.54766114,165165.086018341,de
Engelberg,6390,0,Attinghausen,1203,UR,681608.680436656,185099.50512351,de
Attinghausen,6468,0,Attinghausen,1203,UR,690376.305148267,191109.43923403,de
Muotathal,6436,0,Bürglen (UR),1205,UR,699941.17239886,197070.870731876,de
Bisisthal,6436,2,Bürglen (UR),1205,UR,704459.840053756,198289.974716502,de
Altdorf UR,6460,0,Bürglen (UR),1205,UR,691914.690183604,191599.827564349,de
Bürglen UR,6463,0,Bürglen (UR),1205,UR,693291.584101647,192292.412741208,de
Spiringen,6464,0,Bürglen (UR),1205,UR,696026.616966612,191890.165773089,de
Haldi b. Schattdorf,6469,0,Bürglen (UR),1205,UR,695057.782640868,190700.066890643,de
Erstfeld,6472,0,Erstfeld,1206,UR,692465.068078112,186176.149094039,de
Flüelen,6454,0,Flüelen,1207,UR,690663.809034569,195606.136566959,de
Altdorf UR,6460,0,Flüelen,1207,UR,692381.494694816,196261.036174255,de
Göschenen,6487,0,Göschenen,1208,UR,687637.905314276,169347.721897022,de
Silenen,6473,0,Gurtnellen,1209,UR,692838.295289474,182988.103417934,de
Amsteg,6474,0,Gurtnellen,1209,UR,692569.450194207,181621.891900631,de
Intschi,6476,0,Gurtnellen,1209,UR,692518.871050938,179522.708534414,de
Gurtnellen,6482,0,Gurtnellen,1209,UR,690932.527605162,177001.379667589,de
Hospental,6493,0,Hospental,1210,UR,686864.656280935,163725.630797016,de
Isenthal,6461,0,Isenthal,1211,UR,685499.958791338,196245.725439012,de
Realp,6491,0,Realp,1212,UR,681468.716892917,161383.436298897,de
Schattdorf,6467,0,Schattdorf,1213,UR,693039.772272906,191049.599713786,de
Haldi b. Schattdorf,6469,0,Schattdorf,1213,UR,694273.90319713,190820.568171677,de
Seedorf UR,6462,0,Seedorf (UR),1214,UR,689325.088741571,193213.00333258,de
Bauen,6466,0,Seedorf (UR),1214,UR,686731.309376455,198857.219453132,de
Seelisberg,6377,0,Seelisberg,1215,UR,687277.659450593,203147.41322939,de
Rütli,6441,2,Seelisberg,1215,UR,687833.788698537,202600.74827981,de
Erstfeld,6472,0,Silenen,1216,UR,694624.703121746,185592.232747157,de
Silenen,6473,0,Silenen,1216,UR,694222.788064529,183040.556963081,de
Amsteg,6474,0,Silenen,1216,UR,694104.229201117,180682.031000804,de
Bristen,6475,0,Silenen,1216,UR,695658.683481349,180564.188522416,de
Intschi,6476,0,Silenen,1216,UR,693123.862449658,179295.379533947,de
Sisikon,6452,0,Sisikon,1217,UR,690206.621806268,200346.61961792,de
Riemenstalden,6452,2,Sisikon,1217,UR,694367.169294276,198517.815730325,de
Spiringen,6464,0,Spiringen,1218,UR,698326.602149812,191906.582674714,de
Urnerboden,8751,0,Spiringen,1218,UR,711552.689877182,194134.649574613,de
Bisisthal,6436,2,Unterschächen,1219,UR,705329.889724398,195253.032400596,de
Unterschächen,6465,0,Unterschächen,1219,UR,701394.866105903,190868.113314611,de
Wassen UR,6484,0,Wassen,1220,UR,688480.651112997,173447.101400276,de
Meien,6485,0,Wassen,1220,UR,684910.637620693,175546.230523286,de
Bennau,8836,0,Einsiedeln,1301,SZ,697932.818007998,222763.372180118,de
Einsiedeln,8840,0,Einsiedeln,1301,SZ,699480.083007457,220540.192600619,de
Trachslau,8840,2,Einsiedeln,1301,SZ,697684.789726936,217111.111384213,de
Gross,8841,0,Einsiedeln,1301,SZ,701524.813648718,219185.17381994,de
Euthal,8844,0,Einsiedeln,1301,SZ,704596.123853039,217000.233785353,de
Willerzell,8846,0,Einsiedeln,1301,SZ,702837.669908304,220761.494269486,de
Egg SZ,8847,0,Einsiedeln,1301,SZ,701755.697999378,224241.41785726,de
Vitznau,6354,0,Gersau,1311,SZ,680439.159766827,206024.607881152,de
Rigi Scheidegg,6410,5,Gersau,1311,SZ,682273.939867445,209038.430459079,de
Gersau,6442,0,Gersau,1311,SZ,682786.935828523,205215.228680835,de
Wollerau,8832,0,Feusisberg,1321,SZ,696571.652459882,226923.961744221,de
Schindellegi,8834,0,Feusisberg,1321,SZ,696581.595284458,225607.919973058,de
Feusisberg,8835,0,Feusisberg,1321,SZ,699213.657095866,227135.304375705,de
Bennau,8836,0,Feusisberg,1321,SZ,696523.742301469,223639.546479002,de
Egg SZ,8847,0,Feusisberg,1321,SZ,699889.321213224,225504.491919733,de
Hurden,8640,3,Freienbach,1322,SZ,703564.635884157,230163.123379484,de
Bäch SZ,8806,0,Freienbach,1322,SZ,698041.650913362,228916.051829484,de
Freienbach,8807,0,Freienbach,1322,SZ,700149.487842966,229108.551649777,de
Pfäffikon SZ,8808,0,Freienbach,1322,SZ,701480.654672146,228580.88878583,de
Wollerau,8832,0,Freienbach,1322,SZ,699554.311940814,228088.640772805,de
Wilen b. Wollerau,8832,2,Freienbach,1322,SZ,698201.214320706,228150.464316728,de
Bäch SZ,8806,0,Wollerau,1323,SZ,696909.154997066,228530.714071487,de
Wollerau,8832,0,Wollerau,1323,SZ,697008.754821356,228015.49688271,de
Samstagern,8833,0,Wollerau,1323,SZ,694775.37119935,227201.127855825,de
Schindellegi,8834,0,Wollerau,1323,SZ,695057.025548365,225661.402562208,de
Merlischachen,6402,0,Küssnacht (SZ),1331,SZ,673636.708360205,213272.105936765,de
Küssnacht am Rigi,6403,0,Küssnacht (SZ),1331,SZ,676049.943637182,214860.859613927,de
Immensee,6405,0,Küssnacht (SZ),1331,SZ,677651.054104691,216582.733869556,de
Willerzell,8846,0,Altendorf,1341,SZ,705141.115347281,222985.445287218,de
Altendorf,8852,0,Altendorf,1341,SZ,705505.470372398,227714.286629602,de
Lachen SZ,8853,0,Galgenen,1342,SZ,707884.261971127,227026.017907906,de
Siebnen,8854,0,Galgenen,1342,SZ,709654.445308671,223479.194019002,de
Galgenen,8854,2,Galgenen,1342,SZ,708805.74046572,226701.619306955,de
Innerthal,8858,0,Innerthal,1343,SZ,712378.832023959,218305.895117211,de
Lachen SZ,8853,0,Lachen,1344,SZ,707535.173198882,228362.268691182,de
Reichenburg,8864,0,Reichenburg,1345,SZ,716409.072262774,225637.146212468,de
Siebnen,8854,0,Schübelbach,1346,SZ,710558.179146615,226049.424803207,de
Wangen SZ,8855,0,Schübelbach,1346,SZ,711591.434767184,226943.724058786,de
Schübelbach,8862,0,Schübelbach,1346,SZ,712916.404712129,225769.820860207,de
Buttikon SZ,8863,0,Schübelbach,1346,SZ,714822.487993627,225863.976119285,de
Uznach,8730,0,Tuggen,1347,SZ,715914.456612684,230332.644135521,de
Wangen SZ,8855,0,Tuggen,1347,SZ,711660.253142626,227785.828692703,de
Tuggen,8856,0,Tuggen,1347,SZ,713786.135034361,229147.609639876,de
Vorderthal,8857,0,Vorderthal,1348,SZ,710850.359400077,220114.741730378,de
Lachen SZ,8853,0,Wangen (SZ),1349,SZ,707875.431193564,228913.191212374,de
Siebnen,8854,0,Wangen (SZ),1349,SZ,710381.484758869,226579.497193738,de
Wangen SZ,8855,0,Wangen (SZ),1349,SZ,710406.620948855,227890.213076453,de
Schwyz,6430,0,Alpthal,1361,SZ,695164.77230839,212437.126403899,de
Oberiberg,8843,0,Alpthal,1361,SZ,697440.222723804,208892.446812049,de
Alpthal,8849,0,Alpthal,1361,SZ,697032.074297115,214090.517822994,de
Walchwil,6318,0,Arth,1362,SZ,682361.518677765,215998.783651341,de
Rigi Kaltbad,6356,0,Arth,1362,SZ,680884.146107603,209793.459083031,de
Goldau,6410,0,Arth,1362,SZ,684062.391223835,211212.446596336,de
Rigi Klösterli,6410,2,Arth,1362,SZ,679570.803931134,210805.789470782,de
Rigi Staffel,6410,3,Arth,1362,SZ,678762.787001125,211927.242894288,de
Rigi Kulm,6410,4,Arth,1362,SZ,679337.533268557,212100.26864379,de
Oberarth,6414,0,Arth,1362,SZ,683191.069187941,212253.955376347,de
Arth,6415,0,Arth,1362,SZ,682382.885602308,213076.887028703,de
Steinerberg,6416,0,Arth,1362,SZ,685675.535737245,213543.243437671,de
Illgau,6434,0,Illgau,1363,SZ,697726.798194311,204861.402776022,de
Seewen SZ,6423,0,Ingenbohl,1364,SZ,688572.525382378,207887.031603155,de
Brunnen,6440,0,Ingenbohl,1364,SZ,688735.403948816,205475.378494361,de
Lauerz,6424,0,Lauerz,1365,SZ,686753.055849535,210004.452631111,de
Stoos SZ,6433,0,Morschach,1366,SZ,693269.258719171,203993.559344505,de
Brunnen,6440,0,Morschach,1366,SZ,689242.922377661,203517.217414505,de
Morschach,6443,0,Morschach,1366,SZ,689906.184383607,204073.019050171,de
Sisikon,6452,0,Morschach,1366,SZ,690509.026172509,201162.496888016,de
Stoos SZ,6433,0,Muotathal,1367,SZ,695587.757127046,204190.635995151,de
Muotathal,6436,0,Muotathal,1367,SZ,700530.492792506,203787.452553033,de
Bisisthal,6436,2,Muotathal,1367,SZ,706036.146808001,200145.543169202,de
Ried (Muotathal),6436,3,Muotathal,1367,SZ,697012.850815494,204711.411129562,de
Klöntal,8750,3,Muotathal,1367,SZ,710914.535151692,208324.133111114,de
Unteriberg,8842,0,Oberiberg,1368,SZ,705336.013956963,207993.695238426,de
Oberiberg,8843,0,Oberiberg,1368,SZ,702427.342004132,210953.641193983,de
Riemenstalden,6452,2,Riemenstalden,1369,SZ,693464.246796468,200276.163982257,de
Rothenthurm,6418,0,Rothenthurm,1370,SZ,693855.834504454,217858.304930585,de
Morgarten,6315,3,Sattel,1371,SZ,691973.723109358,217223.103791038,de
Sattel,6417,0,Sattel,1371,SZ,691054.38020281,215443.894944053,de
Rothenthurm,6418,0,Sattel,1371,SZ,692160.76033362,216788.344755489,de
Steinen,6422,0,Sattel,1371,SZ,689120.838595952,213620.802902691,de
Sattel,6417,0,Schwyz,1372,SZ,692977.220360315,213001.831802269,de
Seewen SZ,6423,0,Schwyz,1372,SZ,690624.986425804,209434.988552601,de
Schwyz,6430,0,Schwyz,1372,SZ,692370.997574685,208527.400121444,de
Rickenbach b. Schwyz,6432,0,Schwyz,1372,SZ,693304.363774218,207991.090105607,de
Ibach,6438,0,Schwyz,1372,SZ,691717.408185519,207571.784443971,de
Unteriberg,8842,0,Schwyz,1372,SZ,701434.457414468,206596.000794199,de
Oberiberg,8843,0,Schwyz,1372,SZ,699120.447259363,208175.211940928,de
Steinen,6422,0,Steinen,1373,SZ,689244.752325999,211673.025834415,de
Steinerberg,6416,0,Steinerberg,1374,SZ,687123.958713753,211864.536155193,de
Unteriberg,8842,0,Unteriberg,1375,SZ,703673.262596152,212606.351207207,de
Euthal,8844,0,Unteriberg,1375,SZ,707218.683551431,214447.057136239,de
Studen SZ,8845,0,Unteriberg,1375,SZ,705954.99252036,214539.018054401,de
Pilatus Kulm,6010,2,Alpnach,1401,OW,662089.768312811,203455.404462708,de
Alpnachstad,6053,0,Alpnach,1401,OW,663771.550375696,200633.861922882,de
Alpnach Dorf,6055,0,Alpnach,1401,OW,663437.599514929,199223.557925146,de
Kerns,6064,0,Alpnach,1401,OW,664140.44237796,197612.37741196,de
Grafenort,6388,0,Engelberg,1402,OW,671188.298362538,191465.739345319,de
Engelberg,6390,0,Engelberg,1402,OW,673649.662939859,185458.959818275,de
Giswil,6074,0,Giswil,1403,OW,656655.417318635,187570.183694683,de
Sörenberg,6174,0,Giswil,1403,OW,647798.208347533,183426.877963519,de
Kerns,6064,0,Kerns,1404,OW,664124.992652697,194883.220182977,de
St. Niklausen OW,6066,0,Kerns,1404,OW,664390.20508405,191837.931058413,de
Melchtal,6067,0,Kerns,1404,OW,665161.475771303,187325.916115862,de
Melchsee-Frutt,6068,0,Kerns,1404,OW,663426.05819787,180600.832520484,de
Lungern,6078,0,Lungern,1405,OW,655009.158454555,181515.495796035,de
Bürglen OW,6078,2,Lungern,1405,OW,655518.978329916,184802.549513087,de
Melchtal,6067,0,Sachseln,1406,OW,664659.985856288,187820.061838747,de
Sachseln,6072,0,Sachseln,1406,OW,660570.652453316,190686.623825098,de
Flüeli-Ranft,6073,0,Sachseln,1406,OW,662909.562576136,191534.409185428,de
Giswil,6074,0,Sachseln,1406,OW,657713.508219296,188530.836872516,de
Kägiswil,6056,0,Sarnen,1407,OW,662454.063668943,196816.28676762,de
Sarnen,6060,0,Sarnen,1407,OW,661796.675358761,193925.050973671,de
Ramersberg,6060,2,Sarnen,1407,OW,660411.774269488,194635.229244389,de
Wilen (Sarnen),6062,0,Sarnen,1407,OW,659862.363635418,192597.179680939,de
Stalden (Sarnen),6063,0,Sarnen,1407,OW,658684.236489805,193206.356832479,de
Beckenried,6375,0,Beckenried,1501,NW,678395.042085264,202071.278105237,de
Emmetten,6376,0,Beckenried,1501,NW,679588.587708048,200706.167085149,de
Buochs,6374,0,Buochs,1502,NW,674683.81576675,202724.98995907,de
Dallenwil,6383,0,Dallenwil,1503,NW,672496.044329512,198402.904578615,de
Wiesenberg,6383,3,Dallenwil,1503,NW,670485.630291579,197520.419688158,de
Wirzweli,6383,4,Dallenwil,1503,NW,670628.192661646,196229.632261592,de
Emmetten,6376,0,Emmetten,1504,NW,682547.688335842,201070.181947452,de
Seelisberg,6377,0,Emmetten,1504,NW,685228.685253516,203111.932656529,de
Obbürgen,6363,0,Ennetbürgen,1505,NW,672435.028346313,205056.626013713,de
Bürgenstock,6363,2,Ennetbürgen,1505,NW,671773.093566734,205561.165338848,de
Ennetbürgen,6373,0,Ennetbürgen,1505,NW,674238.123616154,204217.81936977,de
Buochs,6374,0,Ennetbürgen,1505,NW,674320.308247154,203613.253876007,de
Stansstad,6362,0,Ennetmoos,1506,NW,667840.274128141,201939.684849833,de
Ennetmoos,6372,0,Ennetmoos,1506,NW,668464.910077247,201016.177910611,de
Kriens,6010,0,Hergiswil (NW),1507,NW,661910.902618272,204693.524780569,de
Eigenthal,6013,0,Hergiswil (NW),1507,NW,659742.267558278,204048.779026968,de
Hergiswil NW,6052,0,Hergiswil (NW),1507,NW,665843.201983388,204372.326263458,de
Stans,6370,0,Oberdorf (NW),1508,NW,671247.411334219,201114.579374623,de
Oberdorf NW,6370,41,Oberdorf (NW),1508,NW,672158.399928734,201267.794275063,de
Buochs,6374,0,Oberdorf (NW),1508,NW,673605.235132769,201021.945310312,de
Büren NW,6382,0,Oberdorf (NW),1508,NW,673043.091199717,199246.652660526,de
Niederrickenbach,6383,2,Oberdorf (NW),1508,NW,676030.747002121,197179.907015672,de
Stansstad,6362,0,Stans,1509,NW,669494.44418496,202563.72272347,de
Stans,6370,0,Stans,1509,NW,670612.78681115,201233.467987348,de
Ennetmoos,6372,0,Stans,1509,NW,669265.37958477,201003.78465901,de
Ennetbürgen,6373,0,Stans,1509,NW,672193.272704813,203279.217532804,de
Stansstad,6362,0,Stansstad,1510,NW,668550.311790234,203229.338156792,de
Obbürgen,6363,0,Stansstad,1510,NW,670134.656656469,203802.038840946,de
Fürigen,6363,1,Stansstad,1510,NW,669478.419794822,203829.430625098,de
Bürgenstock,6363,2,Stansstad,1510,NW,671195.500527738,205405.751069529,de
Kehrsiten,6365,0,Stansstad,1510,NW,670822.578615914,205975.764823043,de
Dallenwil,6383,0,Wolfenschiessen,1511,NW,672856.744432555,198109.854219073,de
Niederrickenbach,6383,2,Wolfenschiessen,1511,NW,676646.943201377,195939.685098996,de
Wolfenschiessen,6386,0,Wolfenschiessen,1511,NW,672972.71260481,195745.612927796,de
Oberrickenbach,6387,0,Wolfenschiessen,1511,NW,675096.171843041,193473.208500981,de
Grafenort,6388,0,Wolfenschiessen,1511,NW,669388.925824349,190289.189863428,de
Engelberg,6390,0,Wolfenschiessen,1511,NW,670439.96611531,184604.96881773,de
Näfels,8752,0,Glarus Nord,1630,GL,722852.797999218,217946.677448762,de
Mollis,8753,0,Glarus Nord,1630,GL,724286.976768816,217151.617234145,de
Netstal,8754,0,Glarus Nord,1630,GL,723648.544140567,214472.217391669,de
Filzbach,8757,0,Glarus Nord,1630,GL,728432.042530667,220213.791071343,de
Obstalden,8758,0,Glarus Nord,1630,GL,729949.222945952,219922.535870433,de
Bilten,8865,0,Glarus Nord,1630,GL,720296.63637834,223345.463181388,de
Ziegelbrücke,8866,0,Glarus Nord,1630,GL,722714.483491761,221778.038481665,de
Niederurnen,8867,0,Glarus Nord,1630,GL,722481.636514655,220673.683996663,de
Oberurnen,8868,0,Glarus Nord,1630,GL,722953.091594957,219449.953484337,de
Weesen,8872,0,Glarus Nord,1630,GL,725639.174163537,220764.507639638,de
Mühlehorn,8874,0,Glarus Nord,1630,GL,731585.7981719,219937.617799457,de
Glarus,8750,0,Glarus Süd,1631,GL,724417.681364245,209884.002416053,de
Ennenda,8755,0,Glarus Süd,1631,GL,724589.748859508,209942.766513382,de
Mitlödi,8756,0,Glarus Süd,1631,GL,724728.287268444,207904.990648555,de
Schwanden GL,8762,0,Glarus Süd,1631,GL,724441.154083398,206204.226411446,de
Schwändi b. Schwanden,8762,2,Glarus Süd,1631,GL,723804.516126336,207356.887649454,de
Sool,8762,3,Glarus Süd,1631,GL,725263.094460496,206833.964029383,de
Engi,8765,0,Glarus Süd,1631,GL,730044.272997799,204993.07994997,de
Matt,8766,0,Glarus Süd,1631,GL,731775.675875195,202805.287095357,de
Elm,8767,0,Glarus Süd,1631,GL,732034.787854607,197847.167869269,de
Nidfurn,8772,0,Glarus Süd,1631,GL,722678.494715531,205244.26121112,de
Haslen GL,8773,0,Glarus Süd,1631,GL,723355.052352383,204565.951434396,de
Leuggelbach,8774,0,Glarus Süd,1631,GL,721918.499251259,204095.890998778,de
Luchsingen,8775,1,Glarus Süd,1631,GL,721536.677351145,202971.12155162,de
Hätzingen,8775,2,Glarus Süd,1631,GL,721908.404692997,202400.064787403,de
Diesbach GL,8777,0,Glarus Süd,1631,GL,721544.143375277,201330.716503271,de
Betschwanden,8777,2,Glarus Süd,1631,GL,720951.741297591,200451.995445312,de
Rüti GL,8782,0,Glarus Süd,1631,GL,719868.895219926,199370.768254457,de
Linthal,8783,0,Glarus Süd,1631,GL,719089.916498244,198241.279920687,de
Braunwald,8784,0,Glarus Süd,1631,GL,718732.597754961,200023.4842256,de
Glarus,8750,0,Glarus,1632,GL,723643.778991976,211218.825010355,de
Riedern,8750,2,Glarus,1632,GL,722540.823950271,212231.609869187,de
Klöntal,8750,3,Glarus,1632,GL,714304.024577903,209374.534924103,de
Netstal,8754,0,Glarus,1632,GL,722466.041360779,213770.77237989,de
Ennenda,8755,0,Glarus,1632,GL,724673.414384618,210502.419072762,de
Zug,6300,0,Baar,1701,ZG,680468.947841619,226680.374644731,de
Steinhausen,6312,0,Baar,1701,ZG,680618.429340666,227414.821020045,de
Neuägeri,6314,1,Baar,1701,ZG,685036.707084927,223126.550675965,de
Allenwinden,6319,0,Baar,1701,ZG,684338.378537088,224328.725016215,de
Baar,6340,0,Baar,1701,ZG,682157.962443389,227489.832464356,de
Neuheim,6345,0,Baar,1701,ZG,685138.967612033,228733.139825298,de
Cham,6330,0,Cham,1702,ZG,677390.944582725,225873.865556071,de
Hünenberg,6331,0,Cham,1702,ZG,674074.29459684,230708.87676265,de
Hagendorn,6332,0,Cham,1702,ZG,675258.077991859,228475.43360857,de
Mühlau,5642,0,Hünenberg,1703,ZG,672710.362752973,231254.766789648,de
Hünenberg,6331,0,Hünenberg,1703,ZG,675002.086007215,225334.918316625,de
Hagendorn,6332,0,Hünenberg,1703,ZG,674573.039817721,228391.900521288,de
Hünenberg See,6333,0,Hünenberg,1703,ZG,676699.913708211,224749.320267541,de
